Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
TCGA.05.4395,0,0.0031083675021126786,0.02145383442468147,0.07326381517941152,0,0.1915281799396957,0.008942436276250016,0.06392028597143999,0.006751325511599499,0,0.06881061447585508,0.03607506575671597,0.01871539847599924,0.013500576233622505,0.06617706933073807,0.29801454638096087,0.009869032661832693,0.053093475154038845,0.06094394240832155,0,0,0.005832034316724278,0.106,0.11585672758826354,1.0430531720108964
TCGA.05.4415,0.0646730565873794,0,0.19423240054177218,0.08483890571549085,0,0.12351976723041586,0.04615049350750502,0.04713112285819533,0.006802525238576906,0,0.08843599980773265,0.006561214752590429,0.002606402749640953,0.057537462712843136,0.05976015459608214,0.12400405838002707,0,0.04415814166638359,0.03166244152494974,0,0,0.01792585213041478,0.079,0.13245960132823764,1.0185772934492563
TCGA.05.4417,0.026197466338203648,0.021862200911047187,0.026449196553303456,0,0,0.23834082388134314,0.006406390068318892,0.09389620486761086,0.036409287994136875,0,0.036722791356775836,0.006201267804265116,0,0.1582520312113559,0.03769996527747,0.2131290543705763,0.01711504501408503,0.06176373659944532,0.011922598714728177,0,0,0.007631939037334359,0.003,0.33790666129660885,0.9455669304653957
TCGA.35.3615,0.06687144719550812,0,0.10470783898187741,0.045682598234767245,0,0.08253905836140205,0,0.07577395072958357,0.01009224951272312,0,0.0006,0.012052394894581259,0.004283115255234376,0.09084514137144051,0.029670807952418565,0.33172383800078253,0.013679225700016959,0.06927595276083731,0.0565833802121777,0,0,0.005632111399032465,0.008,0.24825952159291548,0.9812074651853602
TCGA.44.6776,0.12139241165559016,0,0.1330908415093711,0.07248914168079565,0,0.14399960618753258,0,0.058223505219455476,0,0,0.016166747272557302,0.026297613905056586,0.02456354909925561,0.0006,0.03934035632380407,0.15153189805510667,0.04764275966755827,0.059010437877907995,0.10568042371280885,0,0,0,0.154,0.09591078187642653,1.028640969655937
TCGA.44.7671,0.010781758546911225,0,0.24207817013207458,0.005052732832450984,0,0.09251279936621963,0,0.05233690004666637,0,0,0.028764056414940082,0,0,0.1122576446033646,0.003431289134306691,0.31514914929578447,0,0.07818259981570322,0.05514476810637757,0,0,0.004308131705200583,0.047,0.156390091661316,1.015001441521393
TCGA.4B.A93V,0.011923012409328018,0,0.15496061012711035,0.0614458292206995,0,0.12123247001875645,0,0.08230489432423903,0.011970929019917692,0,0.03939732742234936,0.01258432780870864,0.0003,0.3654330322701563,0.03516448046394803,0.10126608466310799,0,0,0.002048839742255077,0,0,0,0.008,0.2519904714651891,0.9943628986130049
TCGA.50.7109,0.07825409479855971,0,0.11145182668311006,0.02730114801900064,0,0.20296560113001974,0.029526704361782324,0.11193191878334552,0.024481966219464225,0,0.053096107082554425,0,0.008856839054904345,0.060363972381211904,0.06568591313789611,0.15964345822483525,0,0.04917385020114855,0.014241205589264573,0,0,0.0030253943329026727,0.023,0.17706762217873295,1.0073832662085314
TCGA.53.7813,0.039018716333714995,0,0.3530364530252491,0.12935542331982378,0,0.04747212480034727,0.1214853537962082,0.09442631268207843,0.00124280812556557,0,0.011951292053543627,0,0.010386552416009588,0.05104408201595738,0.052396692047209356,0.05561342804119755,0,0.015027380317987359,0.017543381025107843,0,0,0,0.049,0.15485179786353345,1.0059266794037955
TCGA.55.6970,0.06052374171634007,0,0.0482764584880575,0.028983707168558238,0,0.17149786009894277,0.023962224878111924,0.05879828993999329,0.004082254191010875,0,0.02685570973394991,0,0.0129805276538548,0.08480933432182401,0.03017949771519918,0.289694963787789,0,0.12164828171875523,0.03258662605539026,0,0,0.0051205225322229295,0.008,0.27304702298562,0.9721636138427437
