,Without_KRAS_or_STK11_Mutation,KRAS_Mutation,STK11_Mutation,KRAS/STK11_Mutations
B_cells_naive,3.386461647,3.058846849,4.17879808,3.37893975
B_cells_memory,2.314070336,2.191112595,2.737817597,1.931577665
Plasma_cells,6.160826464,5.122555496,8.81636183,12.37163738
T_cells_CD8,5.408988573,5.020107585,7.108289114,5.65342919
T_cells_CD4_memory_resting,13.22983466,14.24698419,12.19631824,12.80477256
T_cells_CD4_memory_activated,0.681979126,0.827622188,0.554012686,0.933969763
T_cells_follicular_helper,6.656226366,7.584812025,7.420845251,8.551810048
T_cells_regulatory_Tregs_,3.112159868,2.978389152,3.495287044,2.247762808
T_cells_gamma_delta,0.059949441,0.038079993,0,0
NK_cells_resting,2.58684741,2.721781532,3.028949604,3.266150045
NK_cells_activated,1.26494509,1.338372596,1.179572473,1.244742303
Monocytes,2.149373268,2.00472623,1.086133404,1.41084714
Macrophages_M0,14.90201899,14.42448474,13.61088182,12.77237517
Macrophages_M1,5.646250373,4.832738368,4.882758557,3.748884441
Macrophages_M2,21.05227721,21.70791352,22.05827773,19.22690738
Dendritic_cells_resting,2.132557085,1.903990639,0.554197841,0.690990984
Dendritic_cells_activated,2.945964211,4.087144567,2.318940006,4.573037625
Mast_cells_resting,5.578313646,5.132705847,3.891901746,3.927356206
Mast_cells_activated,0.133788907,0.167448814,0.251009027,0.077405078
Eosinophils,0.014031853,0.009452372,0,0.008248083
Neutrophils,0.583135469,0.600730738,0.634829886,1.17915639
