,Other_MT,KRAS,STK11,KRAS_STK11
B_cells,11.86135845,10.37251494,15.7329775,17.68215479
CD8_T_cells,5.408988573,5.020107585,7.108289114,5.65342919
CD4_T_cells,23.74014947,25.67588755,23.66646322,24.53831519
NK_cells,3.851792499,4.060154128,4.208522074,4.510892345
Monocytes,2.149373268,2.00472623,1.086133404,1.41084714
Macrophages,41.60054659,40.96513664,40.55191811,35.74816698
Dendritic_cells,5.078521296,5.991135207,2.87313785,5.264028607
Mast_cells,5.712102554,5.300154661,4.135145605,4.004761282
Eosinophils,0.014031853,0.009452372,0,0.008248083
Neutrophils,0.583135469,0.600730738,0.634829886,1.17915639
